name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
G.Skill Ripjaws S5 32 GB,99.99,"5,5600","2,16",3.125,Black,10,28
Corsair Vengeance RGB 64 GB,194.99,"5,6000","2,32",3.047,Black,10,30
G.Skill Trident Z5 Neo RGB 64 GB,309.99,"5,6000","2,32",4.844,Black / Silver,8.667,26
Timetec PINNACLE Konduit 16 GB,24.99,"4,3200","2,8",1.562,Black,10,16
Kingston FURY Beast RGB 64 GB,204,"5,6000","2,32",3.188,Black,12,36
G.Skill Trident Z RGB 256 GB,,"4,2666","8,32",,Black,13.503,18
G.Skill Ripjaws V 64 GB,104.99,"4,3200","4,16",1.64,Black,10,16
Lexar THOR OC 32 GB,119.99,"5,6000","2,16",3.75,Black / Gold,10.667,32
Crucial CT2K8G4DFRA32A 16 GB,28,"4,3200","2,8",1.75,Green,13.75,22
G.Skill Trident Z5 Royal 96 GB,309.99,"5,6400","2,48",3.229,Silver,10,32
Patriot Viper Venom 32 GB,79.98,"5,5600","2,16",2.499,Black / White,12.857,36
TEAMGROUP T-Force Delta RGB 32 GB,81.99,"5,6000","2,16",2.562,White,12.667,38
G.Skill Ripjaws M5 RGB 96 GB,164.99,"5,5200","2,48",1.719,Black,15.385,40
Patriot Viper Elite II 4 GB,,"4,2666","1,4",,Red / Black,12.003,16
G.Skill Trident Z5 Neo RGB 64 GB,309.99,"5,6000","2,32",4.844,Black,8.667,26
Kingston FURY Beast 16 GB,65.56,"5,6000","2,8",4.098,Black / Silver,12,36
G.Skill Aegis 16 GB,29.99,"4,3000","2,8",1.874,Black / Red,10.667,16
Corsair Vengeance 96 GB,319.99,"5,6400","2,48",3.333,Black,10,32
Crucial Pro 32 GB,88.99,"5,6400","2,16",2.781,White,11.875,38
Crucial Ballistix 16 GB,,"4,3200","2,8",,Black,10,16
Patriot Signature Line 16 GB,33.99,"5,4800","1,16",2.124,Black,16.667,40
TEAMGROUP T-Force Delta RGB 32 GB,83.99,"5,6000","2,16",2.625,White,12.667,38
G.Skill Trident Z 32 GB,,"5,6000","2,16",,White / Black,13.333,40
Corsair Vengeance RGB 32 GB,149.99,"5,7200","2,16",4.687,Black,9.444,34
Patriot Signature Line 8 GB,21.99,"5,4800","1,8",2.749,Black,16.667,40
Patriot Signature Premium 8 GB,13.99,"4,2400","1,8",1.749,Black,14.167,17
Corsair Vengeance RGB 32 GB,96.99,"5,5200","2,16",3.031,Black,15.385,40
TEAMGROUP Elite 16 GB,22.99,"4,3200","2,8",1.437,Black,13.75,22
Corsair Vengeance LPX 32 GB,57.99,"4,2133","2,16",1.812,Black / Yellow,12.189,13
G.Skill Trident Z RGB 256 GB,715.63,"4,3600","8,32",2.795,,8.889,16
Corsair Vengeance RGB 64 GB,289.99,"5,6600","4,16",4.531,Black / Gray,9.697,32
Kingston FURY Beast 32 GB,89.26,"5,5200","2,16",2.789,Black / Silver,15.385,40
G.Skill Ripjaws S5 96 GB,159.99,"5,5200","2,48",1.667,Black,15.385,40
Corsair Vengeance LPX 32 GB,77.99,"4,3600","4,8",2.437,Black / Yellow,10,18
Corsair Vengeance RGB Pro 16 GB,57.99,"4,3600","2,8",3.624,Black,10,18
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"5,6400","2,16",3.125,Black,10,32
Patriot Viper 3 16 GB,21.49,"3,1866","2,8",1.343,Black / Silver,10.718,10
Crucial CT8G48C40U5 8 GB,20.99,"5,4800","1,8",2.624,Black,16.667,40
Corsair Vengeance LPX 32 GB,68.98,"4,3600","2,16",2.156,Black / Yellow,10,18
G.Skill Ripjaws S5 32 GB,79.98,"5,5200","2,16",2.499,Black,15.385,40
Corsair Dominator Titanium 96 GB,449.99,"5,6400","4,24",4.687,Black,10,32
Corsair Vengeance 64 GB,224.99,"5,6600","2,32",3.515,Black / Gray,9.697,32
G.Skill Ripjaws S5 96 GB,309.99,"5,6800","2,48",3.229,Black,10,34
Kingston FURY Beast 16 GB,34.25,"4,3600","2,8",2.141,Black,9.444,17
Kingston FURY Beast RGB 64 GB,220.6,"5,6000","2,32",3.447,White,10,30
TEAMGROUP Elite 32 GB,45.99,"4,3200","2,16",1.437,Black,13.75,22
Corsair Dominator Titanium 32 GB,189.99,"5,7200","2,16",5.937,Black,9.444,34
G.Skill Trident Z RGB 96 GB,289.99,"5,6400","2,48",3.021,Black,10,32
Kingston FURY Beast 32 GB,87.99,"5,5600","2,16",2.75,Black,14.286,40
TEAMGROUP Elite 16 GB,44.99,"5,4800","2,8",2.812,Black,16.667,40
TEAMGROUP T-Create Expert 32 GB,87.99,"5,6000","2,16",2.75,Black,12.667,38
Patriot Signature Line 16 GB,39.99,"5,4800","2,8",2.499,Black,16.667,40
Kingston FURY Beast 16 GB,75.24,"5,6000","2,8",4.702,Black,10,30
Lexar THOR 32 GB,67.2,"4,3200","2,16",2.1,Black,10,16
Patriot Viper Elite 5 RGB 32 GB,99.99,"5,6000","2,16",3.125,White,10,30
G.Skill Trident Z Royal 128 GB,,"4,3600","8,16",,Silver,7.778,14
Patriot Viper Elite II 16 GB,34.99,"4,4000","2,8",2.187,Red / Black,10,20
G.Skill Trident Z5 Royal 48 GB,289.99,"5,8400","2,24",6.041,Gold,9.524,40
G.Skill Trident Z5 RGB 32 GB,109.99,"5,6400","2,16",3.437,White / Black,10,32
Corsair Vengeance RGB Pro 64 GB,985.37,"4,3200","4,16",15.396,Black,10,16
TEAMGROUP T-Force Delta RGB 16 GB,37.99,"4,3200","2,8",2.374,Black,10,16
Corsair Dominator Platinum RGB 64 GB,279.99,"5,6800","2,32",4.375,Black,11.765,40
G.Skill Trident Z RGB 32 GB,84.99,"4,3200","4,8",2.656,Black,10,16
TEAMGROUP T-Create Expert 16 GB,32.99,"4,3200","2,8",2.062,Gray,10,16
Corsair Dominator Platinum 64 GB,,"4,3466","4,16",,Black / Silver,9.233,16
V-Color TRA548G68D834O 384 GB,3369.99,"5,6800","8,48",8.776,Black,10,34
Patriot Viper Steel 16 GB,37.99,"4,3200","2,8",2.374,Silver / Black,10,16
G.Skill Trident Z5 RGB 64 GB,209.99,"5,6400","2,32",3.281,White / Black,10,32
Corsair Dominator Titanium 48 GB,250.99,"5,7600","2,24",5.229,Black,9.474,36
Kingston FURY Beast RGB 16 GB,59.09,"4,3600","2,8",3.693,Black,9.444,17
TEAMGROUP T-Create Expert 96 GB,269.99,"5,6400","2,48",2.812,Black / Gold,10,32
Corsair Vengeance RGB Pro 64 GB,137.99,"4,3200","2,32",2.156,Black,10,16
G.Skill Ripjaws V 16 GB,27.99,"4,3200","1,16",1.749,Black,10,16
