name,price,capacity,price_per_gb,type,cache,form_factor,interface
Crucial T700,139.99,1000,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4
TEAMGROUP MP44Q,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,64.98,2000,0.032,7200,256,3.5,SATA 6.0 Gb/s
Silicon Power A60,89.97,2000,0.045,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX500,82.95,1000,0.083,SSD,1024,2.5,SATA 6.0 Gb/s
Corsair MP700 PRO,229.99,2000,0.115,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Crucial P3,37.5,500,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,42,1000,0.042,7200,64,3.5,SATA 6.0 Gb/s
Intel DC P3608,,4000,,SSD,,PCIe,PCIe x8
Lexar NM790,74.99,1000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade,94.99,1000,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Klevv CRAS C910,92.99,2000,0.046,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,177.99,2000,0.089,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC3000,91.16,1024,0.089,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 5,729.99,4000,0.182,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Black SN770,49.99,500,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP EX2,1799.99,16000,0.112,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power A55,45.97,1000,0.046,SSD,,2.5,SATA 6.0 Gb/s
Crucial BX500,58,1000,0.058,SSD,,2.5,SATA 6.0 Gb/s
Acer Predator GM7000,77.98,1000,0.078,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Patriot P400 Lite,50.99,1000,0.051,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 860 Evo,150,1000,0.15,SSD,1024,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,135.1,4000,0.034,7200,256,3.5,SATA 6.0 Gb/s
Kingston A400,29.99,480,0.062,SSD,,2.5,SATA 6.0 Gb/s
Crucial T500,99.99,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705,154.99,1000,0.155,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 970 Evo,156.13,1000,0.156,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,72.99,4000,0.018,5400,256,3.5,SATA 6.0 Gb/s
Samsung 980,69,500,0.138,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,46.99,960,0.049,SSD,,2.5,SATA 6.0 Gb/s
Seagate Exos X24,439.99,24000,0.018,7200,512,3.5,SATA 6.0 Gb/s
Crucial T705 W/Heatsink,506.99,4000,0.127,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 PRO XT,682.49,8000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M371,49.99,1000,0.05,SSD,,M.2-2280,M.2 PCIe 3.0 X4
PNY CS900,44.99,1000,0.045,SSD,,2.5,SATA 6.0 Gb/s
ADATA Legend 800,119.99,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,114.99,2000,0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4
VisionTek QLC,1283.99,8000,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KingSpec XF,88.98,2000,0.044,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700 PRO SE,549.99,4000,0.137,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Patriot P300,14.99,128,0.117,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate SuperSpeed HDD,,1000,,,64,2.5,SATA 6.0 Gb/s
TEAMGROUP MP33,95.99,2000,0.048,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf NAS,159.99,8000,0.02,7200,256,3.5,SATA 6.0 Gb/s
Patriot P210,85.99,2000,0.043,SSD,,2.5,SATA 6.0 Gb/s
Patriot Viper VP4300 Lite,104.99,2000,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,49.99,1000,0.05,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP700 Elite,179.99,2000,0.09,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Kingston Fury Renegade,279.99,4000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M450,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 850 Evo,,250,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue SN580,44.6,500,0.089,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,75.56,2000,0.038,7200,64,3.5,SATA 6.0 Gb/s
Samsung 990 Pro w/Heatsink,99.99,1000,0.1,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X w/Heatsink,599.99,8000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,156,2000,0.078,SSD,2048,2.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,124.39,8000,0.016,5400,256,3.5,SATA 6.0 Gb/s
Corsair MP600 CORE XT,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33 PRO,56.99,1000,0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4
