name,price,rpm,noise_level,color,size
Deepcool AK400 ZERO DARK,,"500,1850",29,Black,
Corsair H150i PRO,365.48,1600,25,,360
ARCTIC Alpine 17,11.99,"100,2000",,Black / White,
Thermalright Peerless Assassin 90 SE,24.99,2200,23.85,White / Silver,
Cooler Master MasterLiquid 240 Atmos,129.99,"690,2500",27.2,Black,240
ARCTIC Alpine 17 CO,12.99,"250,2700",,Black,
NZXT Kraken Elite 240 RGB,259.99,"500,1800","17.9,30.6",White,240
Corsair iCUE H100i ELITE CAPELLIX,285,2400,"10,37",Black,240
Corsair iCUE H150i RGB ELITE,189.99,"400,1850","5,28.9",White,360
ID-COOLING FROZN A620 BLACK,37.99,"500,2000",29.85,Black,
ARCTIC Alpine AM4,11.99,"100,2000",,Black / White,
Deepcool LS720,,"500,2250",32.9,Black,360
ID-COOLING IS-47-XT,34.99,"800,2800",32.5,Black,
SAMA SM360 LCD,114.99,"800,1800",35.5,White,360
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,,"800,1900",32,Black / Silver,360
Deepcool AK400,,"500,1850",29,White,
Thermalright Assassin X 120 R Digital ARGB,24.9,2000,29.8,White,
SAMA SM360 LCD,114.99,"800,1800",35.5,Black,360
HYTE THICC Q80 Trio,319.99,"1,3000","10,47.3",Black,360
Thermalright Assassin X 120 PLUS V2,,1500,25.6,Black / Silver,
Corsair iCUE LINK H170i LCD,368,"400,2000",,Black,420
be quiet! Dark Rock Slim,59.9,1500,"11,23.6",Black,
Corsair iCUE H100x RGB ELITE,,1500,"7,28",Black,240
Thermalright Assassin X Refined SE RGB V2,18.69,1550,25.6,Black / Silver,
HYTE THICC Q60,249.99,,"10,47.3",White / Black,240
ARCTIC Liquid Freezer II 240,,"200,1800",,Black,240
Noctua NH-P1,109.9,,0,Silver,
Noctua NH-U14S,79.95,"300,1500","19.2,24.6",,
Vetroo V360,69.95,"800,1800",30.8,White / Gray,360
be quiet! Light Loop,159,"1500,2900","17.2,36.8",White,360
Thermalright Frozen Edge,,2150,28.1,Black,360
Vetroo V5,27.99,"800,1700",30.8,White,
Scythe Mugen 5 Rev. B,,"300,1200","4,24.9",Silver / Black,
Cooler Master Hyper 212 EVO V2,89.99,"650,1800","8,27",Black / Silver,
Thermalright Burst Assassin 120 SE,21.9,1550,25.6,Black / Silver,
ARCTIC Freezer 36 CO,38.97,"200,1800",,Black / Silver,
Asus ROG STRIX LC II ARGB,154.99,"800,2500",37.6,White / Black,360
Asus Prime LC 360 ARGB,109.99,"600,2200",,Black,360
ENDORFY Fera 5,27.5,"250,1800",,Black / Silver,
Thermalright Peerless Assassin 120 White ARGB,43.39,1550,25.6,White,
Scythe Fuma 3,,"200,1500","4,28.6",Black / Silver,
Corsair NAUTILUS 240 RS ARGB,99.99,2100,34,White,240
Corsair H100i RGB PLATINUM,,2400,37,Black / Silver,240
MSI MAG CORELIQUID A13,67.88,,,Black,240
NZXT Kraken Elite 240 (2024),222.99,"500,2000",30,Black,240
Corsair iCUE H150i RGB ELITE,,"400,1850","19,35.8",Black,360
Phanteks GLACIER ONE 360D30,,"250,2000",30.2,White,360
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,231.64,"800,1900",32,White / Silver,240
ARCTIC Alpine 23 CO,15.99,"100,2000",,Black,
Thermaltake TH360 V2 ARGB Sync,99.99,"500,2000",25.8,White,360
ARCTIC Freezer 34 eSports DUO,52.83,"200,2100",24.4,White / Gray,
Vetroo V240,59.99,"800,1800",30.8,White / Gray,240
Thermalright Peerless Assassin 90 SE,27.9,2200,23.85,Black,
Corsair iCUE H170i ELITE CAPELLIX XT,,"500,1700","5,33.8",Black,420
Asus ROG STRIX LC III ARGB LCD,249.99,"800,2200",36,Black,360
Lian Li Galahad II LCD,,"300,2450",30,Black,360
NZXT Kraken Elite 240 RGB,256.13,"500,1800","17.9,30.6",Black,240
Scythe Mugen 6,46.99,"300,2000","3,26.88",Black,
Lian Li Galahad II Trinity,180.85,2450,35.4,Black,240
Gigabyte AORUS WATERFORCE X II 360,219.99,"800,2400","12,37.5",Black,360
iBuypower AW4,79,"700,2000",38,Black,240
Thermalright Frozen Warframe PRO ARGB,119.9,2000,29.8,Black,360
